"iso2","date","internet_online_model_prediction","internet_offline_model_prediction","internet_online_offline_model_prediction","ground_truth_internet_gg","mobile_online_model_prediction","mobile_offline_model_prediction","mobile_online_offline_model_prediction","ground_truth_mobile_gg"
KZ,202206,0.977,0.996,0.999,0.977,0.994,1.0,1.0,0.991
LA,202206,0.907,0.798,0.913,,0.946,0.888,0.928,
LB,202206,0.874,0.893,0.856,,0.924,0.914,0.961,0.998
LC,202206,1.0,,,,1.0,,,
LI,202206,,,,,,,,
LK,202206,0.742,0.832,0.751,,0.835,0.95,0.899,
LR,202206,0.888,0.522,0.788,,0.934,0.659,0.81,
LS,202206,1.0,0.803,0.966,,1.0,0.878,1.0,
LT,202206,0.99,1.0,1.0,1.0,1.0,1.0,0.96,1.0
LU,202206,0.986,1.0,1.0,0.997,1.0,1.0,1.0,
LV,202206,1.0,1.0,1.0,0.996,1.0,1.0,0.977,
LY,202206,0.817,,,,0.885,,,
MA,202206,0.772,0.828,0.859,0.907,0.855,0.866,0.897,1.0
MC,202206,,,,,,,,
MD,202206,1.0,0.861,1.0,0.88,1.0,0.922,1.0,
ME,202206,0.911,0.897,0.927,0.925,0.949,0.972,0.965,0.979
MG,202206,0.891,0.666,0.808,,0.936,0.797,0.909,
MH,202206,,,,,,,,
MK,202206,0.887,0.922,0.883,0.958,0.933,,0.947,0.929
ML,202206,0.636,0.551,0.619,,0.763,0.644,0.672,
MM,202206,0.857,0.837,0.86,,0.912,0.894,0.937,0.851
MN,202206,1.0,0.914,1.0,,1.0,0.975,1.0,
MO,202206,1.0,,,0.999,1.0,,,1.0
MR,202206,0.745,0.69,0.774,,0.836,0.774,0.808,
MT,202206,0.921,0.946,0.982,0.962,0.956,1.0,0.965,
MU,202206,0.922,0.941,0.951,0.9,0.956,0.981,0.986,0.908
MV,202206,0.992,0.934,0.974,,1.0,0.944,1.0,0.987
MW,202206,0.724,0.68,0.646,0.314,0.822,0.768,0.819,0.63
MX,202206,0.991,0.922,1.0,0.966,1.0,0.972,0.988,1.0
MY,202206,0.951,0.953,0.955,0.955,0.976,,0.994,0.982
MZ,202206,0.784,0.669,0.691,,0.863,0.751,0.81,0.75
NA,202206,,0.864,,,,0.95,,
NE,202206,0.582,,,0.331,0.726,,,0.723
NG,202206,0.825,0.685,0.839,0.744,0.891,0.747,0.811,0.944
NI,202206,0.928,0.85,,,0.961,0.914,0.931,
NL,202206,1.0,0.962,1.0,0.972,1.0,1.0,1.0,0.983
NO,202206,1.0,0.982,1.0,0.984,1.0,1.0,0.973,
NP,202206,0.75,0.697,0.727,,0.84,0.802,0.818,0.813
NR,202206,,,,,,,,
NZ,202206,1.0,0.94,1.0,,1.0,1.0,0.982,
OM,202206,0.834,0.985,0.82,0.932,0.897,1.0,0.992,0.938
PA,202206,0.982,0.987,0.973,1.0,0.997,0.989,0.982,1.0
PE,202206,0.928,0.892,0.957,0.891,0.961,0.946,0.964,0.949
PG,202206,0.808,,,,0.879,,,
PH,202206,1.0,0.899,1.0,,1.0,0.941,0.975,1.0
PK,202206,0.6,0.635,0.602,0.617,0.739,0.741,0.739,0.641
PL,202206,1.0,0.953,0.996,0.987,1.0,1.0,0.991,1.0
PT,202206,0.962,0.948,1.0,0.94,0.984,0.997,0.97,
PW,202206,,,,,,,,
PY,202206,0.983,0.868,0.969,1.0,0.998,0.94,1.0,1.0
QA,202206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999
RO,202206,0.971,0.953,0.993,0.95,0.99,1.0,0.992,
RS,202206,0.962,0.905,1.0,0.918,0.984,0.964,0.98,0.986
RU,202206,,1.0,,0.988,,1.0,,1.0
RW,202206,0.735,0.76,0.714,,0.83,0.818,0.774,0.617
SA,202206,0.701,0.897,0.755,0.673,0.807,0.987,0.913,0.965
SB,202206,0.9,,,,0.942,,,
SC,202206,0.973,,,,0.991,,,
SE,202206,1.0,0.961,1.0,0.994,1.0,1.0,0.955,0.986
SG,202206,0.99,0.995,1.0,0.979,1.0,1.0,1.0,0.972
SI,202206,0.983,0.937,0.992,0.986,0.998,1.0,0.951,1.0
SK,202206,0.993,1.0,0.988,0.967,1.0,1.0,1.0,
SL,202206,0.855,0.638,,,0.911,0.755,0.891,
SM,202206,,,,,,,,
SN,202206,0.707,0.739,0.683,,0.811,0.789,0.788,0.846
SO,202206,0.845,,,,0.905,,,
SR,202206,0.958,0.908,,,0.981,0.96,0.996,
ST,202206,0.899,,,,0.941,,,
SV,202206,0.919,0.951,0.916,0.932,0.955,0.949,0.974,0.978
SX,202206,,,,,,,,
SZ,202206,0.881,0.905,0.879,,0.929,0.94,0.943,
TD,202206,0.607,0.396,0.563,,0.743,0.521,0.517,
TG,202206,0.683,0.479,0.603,0.528,0.795,0.653,0.714,0.813
TH,202206,0.967,0.963,0.991,0.97,0.987,0.979,1.0,0.994
TJ,202206,0.65,0.691,0.588,,0.773,0.835,0.818,
TL,202206,,,,,,,,0.848
TM,202206,0.903,,,,0.944,,,
TN,202206,0.882,0.835,0.98,,0.93,0.912,0.956,0.875
TO,202206,1.0,,,,1.0,,,
TR,202206,0.726,0.916,0.719,0.777,0.824,0.968,0.888,0.972
TT,202206,1.0,,,,1.0,,,
TV,202206,,,,,,,,
TW,202206,0.987,,,0.97,1.0,,,0.999
TZ,202206,0.803,0.711,0.74,,0.876,0.812,0.846,0.895
UA,202206,1.0,0.878,1.0,0.933,1.0,0.961,1.0,0.989
UG,202206,0.781,0.728,0.732,,0.861,0.791,0.817,0.692
US,202206,1.0,0.979,1.0,1.0,1.0,1.0,1.0,0.956
UY,202206,1.0,0.978,,0.989,1.0,0.994,1.0,1.0
UZ,202206,0.716,,,,0.817,,,
VC,202206,1.0,,,,1.0,,,
VE,202206,1.0,,,,1.0,,1.0,0.904
VN,202206,0.971,0.895,0.959,,0.989,0.918,1.0,1.0
VU,202206,1.0,,,,1.0,,,
WS,202206,1.0,,,,1.0,,,
XK,202206,,,,,,,,
YE,202206,0.546,0.556,0.507,,0.702,0.637,0.665,
ZA,202206,0.976,0.917,0.965,,0.993,0.966,0.982,0.954
ZM,202206,0.847,,,,0.906,,,
ZW,202206,0.796,0.804,0.777,0.798,0.871,0.857,0.891,0.947
AD,202207,,,,,,,,
AE,202207,1.0,1.0,,0.964,1.0,1.0,1.0,1.0
AF,202207,0.575,,,,0.722,,,
AL,202207,0.803,0.87,0.812,,0.876,0.939,0.917,0.947
AM,202207,0.947,0.918,0.897,0.968,0.973,0.948,0.98,
AO,202207,0.844,0.637,0.86,0.902,0.904,0.732,0.743,0.729
AR,202207,1.0,0.949,1.0,0.977,1.0,0.982,0.996,1.0
AT,202207,0.993,0.974,1.0,0.939,1.0,1.0,1.0,
AU,202207,1.0,0.953,1.0,0.99,1.0,1.0,1.0,1.0
AW,202207,0.995,,,,1.0,,,
AZ,202207,0.708,0.962,0.767,0.903,0.812,0.973,0.876,0.902
BA,202207,0.95,0.916,,0.925,0.975,0.943,0.967,
BB,202207,1.0,0.932,0.97,,1.0,0.97,0.99,
BD,202207,0.713,0.777,0.725,0.622,0.815,0.836,0.785,0.674
BE,202207,1.0,0.963,1.0,0.981,1.0,1.0,0.991,0.993
BF,202207,0.669,0.639,0.634,,0.786,0.717,0.767,0.867
BG,202207,0.984,0.919,0.969,0.958,0.998,0.986,0.945,
BH,202207,0.816,0.958,0.837,0.978,0.885,,0.985,1.0
BI,202207,0.72,0.605,0.662,0.5,0.82,0.718,0.744,0.496
BJ,202207,0.73,0.507,0.703,,0.827,0.648,0.666,0.643
BN,202207,0.909,0.995,0.96,1.0,0.948,1.0,0.968,1.0
BO,202207,0.925,0.816,,0.868,0.959,0.907,0.937,0.966
BR,202207,1.0,0.964,0.989,0.996,1.0,0.975,1.0,1.0
BS,202207,1.0,1.0,,,1.0,1.0,1.0,
BT,202207,1.0,0.782,0.97,,1.0,0.847,0.983,
BW,202207,0.92,0.887,0.962,0.835,0.955,0.977,0.972,1.0
BY,202207,1.0,0.955,1.0,1.0,1.0,1.0,1.0,1.0
BZ,202207,1.0,0.845,0.941,,1.0,,1.0,
CA,202207,1.0,0.962,1.0,,1.0,1.0,1.0,0.979
CD,202207,0.758,0.392,0.69,,0.845,0.561,0.67,
CF,202207,0.724,,,,0.822,,,
CG,202207,0.838,,,,0.9,,,
CH,202207,0.988,0.958,1.0,0.974,1.0,1.0,0.979,
CI,202207,0.798,0.649,0.744,0.439,0.873,0.739,0.8,0.911
CL,202207,1.0,0.949,1.0,0.961,1.0,0.987,0.994,1.0
CM,202207,0.85,0.663,0.792,0.701,0.908,0.785,0.831,
CN,202207,0.864,0.846,0.975,,0.917,0.922,0.985,1.0
CO,202207,0.974,0.944,0.966,1.0,0.992,0.971,0.989,1.0
CR,202207,1.0,0.97,0.973,1.0,1.0,0.966,0.978,0.995
CV,202207,0.972,0.841,0.898,0.976,0.99,0.893,0.993,0.988
CW,202207,,,,,,,,1.0
CY,202207,0.926,0.934,0.931,0.996,0.959,1.0,0.962,0.985
CZ,202207,1.0,0.979,1.0,0.931,1.0,1.0,1.0,0.993
DE,202207,0.971,0.932,1.0,0.926,0.99,1.0,0.945,0.964
DJ,202207,0.841,,,0.861,0.902,,,0.842
DK,202207,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0
DM,202207,,,,,,,,
DO,202207,0.962,0.94,0.958,1.0,0.983,0.967,0.995,0.954
DZ,202207,0.819,0.799,0.956,,0.887,0.906,0.916,0.946
EC,202207,0.97,0.947,0.949,0.98,0.989,0.943,0.975,0.981
EE,202207,1.0,1.0,1.0,1.0,1.0,1.0,0.997,
EG,202207,0.774,0.839,0.829,0.796,0.857,0.919,0.934,0.985
ER,202207,0.708,,,,0.811,,,
ES,202207,1.0,0.95,1.0,0.979,1.0,1.0,0.98,0.985
ET,202207,0.727,0.639,0.708,,0.825,0.709,0.754,0.622
FI,202207,1.0,0.979,1.0,1.0,1.0,1.0,0.978,1.0
FJ,202207,0.984,0.824,,,0.999,0.933,1.0,
FM,202207,1.0,,,,1.0,,,
FR,202207,0.989,0.973,1.0,0.961,1.0,1.0,0.957,1.0
GA,202207,0.884,,,,0.931,,,
GB,202207,1.0,0.946,1.0,1.0,1.0,1.0,1.0,0.981
GD,202207,1.0,,,,1.0,,,
GE,202207,0.968,0.899,0.966,0.937,0.988,0.965,1.0,0.935
GH,202207,0.813,0.724,0.777,,0.883,0.834,0.894,0.843
GM,202207,0.703,0.678,0.653,,0.809,0.753,0.827,
GN,202207,0.787,0.464,0.806,,0.865,0.598,0.651,
GQ,202207,0.9,,,,0.942,,,
GR,202207,0.915,0.895,0.955,0.942,0.952,0.985,0.979,0.951
GT,202207,0.915,0.863,0.922,,0.952,0.907,0.97,0.867
GW,202207,,,,,,,,
GY,202207,1.0,,,,1.0,,,
HK,202207,1.0,,,0.967,1.0,,,0.989
HN,202207,1.0,0.844,0.952,,1.0,0.901,1.0,
HR,202207,0.93,0.97,0.983,0.815,0.962,1.0,0.974,
HT,202207,0.899,,,,0.941,,,0.791
HU,202207,0.997,0.982,1.0,0.979,1.0,1.0,0.999,0.99
ID,202207,0.862,0.862,0.89,0.872,0.916,0.921,0.923,0.889
IE,202207,1.0,0.98,1.0,1.0,1.0,1.0,0.97,1.0
IL,202207,0.949,0.923,0.966,0.966,0.975,,0.977,0.985
IN,202207,0.642,0.781,0.639,,0.767,0.871,0.825,0.738
IQ,202207,0.664,0.768,,0.524,0.782,0.837,0.789,0.682
IS,202207,1.0,0.972,1.0,0.997,1.0,1.0,0.945,
IT,202207,0.954,0.972,1.0,0.882,0.978,1.0,0.984,0.964
JM,202207,1.0,0.864,1.0,1.0,1.0,0.931,1.0,1.0
JO,202207,0.874,0.882,0.881,,0.924,0.922,1.0,1.0
JP,202207,0.886,0.997,0.961,0.948,0.932,1.0,1.0,0.941
KE,202207,0.864,0.871,0.79,,0.917,0.829,0.883,0.953
KG,202207,0.921,0.792,0.784,,0.956,0.896,0.962,
KH,202207,0.839,0.763,0.852,1.0,0.9,0.84,0.904,0.795
KI,202207,0.951,,,,0.976,,,
KM,202207,0.828,,,,0.893,,,
KN,202207,,,,,,,,
KR,202207,0.805,0.962,0.925,0.976,0.877,0.996,0.961,0.991
KW,202207,0.843,1.0,0.91,0.664,0.903,1.0,0.937,
KZ,202207,0.977,0.996,0.993,0.977,0.994,1.0,0.997,0.991
LA,202207,0.907,0.798,0.906,,0.946,0.888,0.936,
LB,202207,0.874,0.893,0.857,,0.924,0.914,0.961,0.998
LC,202207,1.0,,,,1.0,,,
LI,202207,,,,,,,,
