gid_1,gid_0,survey_year,outcome,observed,source
ARM.8_1,ARM,2015,internet_fm_ratio,0.883,dhs
ARM.8_1,ARM,2015,mobile_women,98.3,dhs
ARM.8_1,ARM,2015,mobile_men,100,dhs
ARM.8_1,ARM,2015,mobile_fm_ratio,0.983,dhs
ARM.9_1,ARM,2015,internet_women,92.2,dhs
ARM.9_1,ARM,2015,internet_men,89.8,dhs
ARM.9_1,ARM,2015,internet_fm_ratio,1,dhs
ARM.9_1,ARM,2015,mobile_women,98.2,dhs
ARM.9_1,ARM,2015,mobile_men,98.2,dhs
ARM.9_1,ARM,2015,mobile_fm_ratio,0.999,dhs
BGD.1_1,BGD,2018,mobile_women,63.3,dhs
BGD.2_1,BGD,2018,mobile_women,70.2,dhs
BGD.3_1,BGD,2018,mobile_women,69.2,dhs
BGD.4_1,BGD,2018,mobile_women,55.1,dhs
BGD.5_1,BGD,2018,mobile_women,50.8,dhs
BGD.6_1,BGD,2018,mobile_women,46.6,dhs
BGD.7_1,BGD,2018,mobile_women,55.6,dhs
BGD.8_1,BGD,2018,mobile_women,53.5,dhs
HTI.1_1,HTI,2016,internet_women,15.6,dhs
HTI.1_1,HTI,2016,internet_men,24.3,dhs
HTI.1_1,HTI,2016,internet_fm_ratio,0.541,dhs
HTI.1_1,HTI,2016,mobile_women,39.4,dhs
HTI.1_1,HTI,2016,mobile_men,58.4,dhs
HTI.1_1,HTI,2016,mobile_fm_ratio,0.675,dhs
HTI.10_1,HTI,2016,internet_women,25.8,dhs
HTI.10_1,HTI,2016,internet_men,30.1,dhs
HTI.10_1,HTI,2016,internet_fm_ratio,0.781,dhs
HTI.10_1,HTI,2016,mobile_women,56.6,dhs
HTI.10_1,HTI,2016,mobile_men,65.1,dhs
HTI.10_1,HTI,2016,mobile_fm_ratio,0.869,dhs
HTI.2_1,HTI,2016,internet_women,15.9,dhs
HTI.2_1,HTI,2016,internet_men,16.6,dhs
HTI.2_1,HTI,2016,internet_fm_ratio,0.835,dhs
HTI.2_1,HTI,2016,mobile_women,48.6,dhs
HTI.2_1,HTI,2016,mobile_men,57.4,dhs
HTI.2_1,HTI,2016,mobile_fm_ratio,0.847,dhs
HTI.3_1,HTI,2016,internet_women,22.8,dhs
HTI.3_1,HTI,2016,internet_men,36.8,dhs
HTI.3_1,HTI,2016,internet_fm_ratio,0.583,dhs
HTI.3_1,HTI,2016,mobile_women,49.5,dhs
HTI.3_1,HTI,2016,mobile_men,64.3,dhs
HTI.3_1,HTI,2016,mobile_fm_ratio,0.769,dhs
HTI.4_1,HTI,2016,internet_women,28.4,dhs
HTI.4_1,HTI,2016,internet_men,27.4,dhs
HTI.4_1,HTI,2016,internet_fm_ratio,0.975,dhs
HTI.4_1,HTI,2016,mobile_women,60.9,dhs
HTI.4_1,HTI,2016,mobile_men,67.1,dhs
HTI.4_1,HTI,2016,mobile_fm_ratio,0.907,dhs
HTI.5_1,HTI,2016,internet_women,18.1,dhs
HTI.5_1,HTI,2016,internet_men,34.1,dhs
HTI.5_1,HTI,2016,internet_fm_ratio,0.497,dhs
HTI.5_1,HTI,2016,mobile_women,51,dhs
HTI.5_1,HTI,2016,mobile_men,74.1,dhs
HTI.5_1,HTI,2016,mobile_fm_ratio,0.688,dhs
HTI.6_1,HTI,2016,internet_women,20.7,dhs
HTI.6_1,HTI,2016,internet_men,36.1,dhs
HTI.6_1,HTI,2016,internet_fm_ratio,0.548,dhs
HTI.6_1,HTI,2016,mobile_women,53.3,dhs
HTI.6_1,HTI,2016,mobile_men,71.5,dhs
HTI.6_1,HTI,2016,mobile_fm_ratio,0.746,dhs
HTI.7_1,HTI,2016,internet_women,27.8,dhs
HTI.7_1,HTI,2016,internet_men,36.1,dhs
HTI.7_1,HTI,2016,internet_fm_ratio,0.717,dhs
HTI.7_1,HTI,2016,mobile_women,58.5,dhs
HTI.7_1,HTI,2016,mobile_men,68.4,dhs
HTI.7_1,HTI,2016,mobile_fm_ratio,0.854,dhs
HTI.8_1,HTI,2016,internet_women,40.5,dhs
HTI.8_1,HTI,2016,internet_men,55.9,dhs
HTI.8_1,HTI,2016,internet_fm_ratio,0.681,dhs
HTI.8_1,HTI,2016,mobile_women,64,dhs
HTI.8_1,HTI,2016,mobile_men,75.7,dhs
HTI.8_1,HTI,2016,mobile_fm_ratio,0.845,dhs
HTI.9_1,HTI,2016,internet_women,27.6,dhs
HTI.9_1,HTI,2016,internet_men,28.2,dhs
HTI.9_1,HTI,2016,internet_fm_ratio,0.886,dhs
HTI.9_1,HTI,2016,mobile_women,54.1,dhs
HTI.9_1,HTI,2016,mobile_men,67,dhs
HTI.9_1,HTI,2016,mobile_fm_ratio,0.808,dhs
IND.1_1,IND,2020,internet_women,36,dhs
IND.1_1,IND,2020,internet_men,46.4,dhs
IND.1_1,IND,2020,internet_fm_ratio,0.738,dhs
IND.1_1,IND,2020,mobile_women,83.4,dhs
IND.1_1,IND,2020,mobile_men,95.3,dhs
IND.1_1,IND,2020,mobile_fm_ratio,0.875,dhs
IND.10_1,IND,2020,internet_women,74.1,dhs
IND.10_1,IND,2020,internet_men,78.3,dhs
IND.10_1,IND,2020,internet_fm_ratio,0.899,dhs
IND.10_1,IND,2020,mobile_women,91.6,dhs
IND.10_1,IND,2020,mobile_men,97.3,dhs
IND.10_1,IND,2020,mobile_fm_ratio,0.941,dhs
