gid_0,outcome,predicted,predicted_error,date
TON,internet_fm_ratio,1.03,0.057,2024-06
TON,internet_women,0.71,0.771,2024-06
TON,internet_men,0.791,0.577,2024-06
TON,mobile_fm_ratio,0.986,0.042,2024-06
TON,mobile_women,0.797,0.967,2024-06
TON,mobile_men,0.839,0.091,2024-06
TLS,internet_fm_ratio,0.878,0.054,2024-06
TLS,internet_women,0.477,0.3,2024-06
TLS,internet_men,0.536,0.269,2024-06
TLS,mobile_fm_ratio,0.911,0.039,2024-06
TLS,mobile_women,0.71,0.643,2024-06
TLS,mobile_men,0.742,0.08,2024-06
TKM,internet_fm_ratio,0.89,0.047,2024-06
TKM,internet_women,0.399,1.379,2024-06
TKM,internet_men,0.382,0.953,2024-06
TKM,mobile_fm_ratio,0.9,0.037,2024-06
TKM,mobile_women,0.776,1.63,2024-06
TKM,mobile_men,0.863,0.076,2024-06
TJK,internet_fm_ratio,0.89,0.051,2024-06
TJK,internet_women,0.406,0.597,2024-06
TJK,internet_men,0.477,0.453,2024-06
TJK,mobile_fm_ratio,0.888,0.036,2024-06
TJK,mobile_women,0.657,0.81,2024-06
TJK,mobile_men,0.778,0.077,2024-06
THA,internet_fm_ratio,0.983,0.037,2024-06
THA,internet_women,0.873,1.757,2024-06
THA,internet_men,0.884,1.191,2024-06
THA,mobile_fm_ratio,0.994,0.04,2024-06
THA,mobile_women,0.888,1.342,2024-06
THA,mobile_men,0.876,0.091,2024-06
TGO,internet_fm_ratio,0.507,0.06,2024-06
TGO,internet_women,0.237,0.356,2024-06
TGO,internet_men,0.397,0.299,2024-06
TGO,mobile_fm_ratio,0.735,0.038,2024-06
TGO,mobile_women,0.646,1.185,2024-06
TGO,mobile_men,0.779,0.079,2024-06
TCD,internet_fm_ratio,0.341,0.075,2024-06
TCD,internet_women,0.087,0.287,2024-06
TCD,internet_men,0.155,0.251,2024-06
TCD,mobile_fm_ratio,0.518,0.035,2024-06
TCD,mobile_women,0.384,1.562,2024-06
TCD,mobile_men,0.666,0.067,2024-06
SYC,internet_fm_ratio,0.957,0.051,2024-06
SYC,internet_women,0.755,2.905,2024-06
SYC,internet_men,0.805,1.937,2024-06
SYC,mobile_fm_ratio,0.982,0.047,2024-06
SYC,mobile_women,0.862,0.791,2024-06
SYC,mobile_men,0.822,0.092,2024-06
SWZ,internet_fm_ratio,1.026,0.049,2024-06
SWZ,internet_women,0.565,0.942,2024-06
SWZ,internet_men,0.578,0.67,2024-06
SWZ,mobile_fm_ratio,0.999,0.04,2024-06
SWZ,mobile_women,0.829,1.071,2024-06
SWZ,mobile_men,0.842,0.088,2024-06
SWE,internet_fm_ratio,1.021,0.043,2024-06
SWE,internet_women,0.964,5.666,2024-06
SWE,internet_men,0.942,3.687,2024-06
SWE,mobile_fm_ratio,0.997,0.043,2024-06
SWE,mobile_women,0.912,1.325,2024-06
SWE,mobile_men,0.915,0.096,2024-06
SVN,internet_fm_ratio,0.995,0.041,2024-06
SVN,internet_women,0.893,4.163,2024-06
SVN,internet_men,0.898,2.727,2024-06
SVN,mobile_fm_ratio,1.003,0.041,2024-06
SVN,mobile_women,0.963,1.279,2024-06
