gid_0,outcome,predicted,predicted_error,date
ECU,mobile_men,0.692,0.087,2024-05
DZA,internet_fm_ratio,0.892,0.052,2024-05
DZA,internet_women,0.685,1.211,2024-05
DZA,internet_men,0.768,0.852,2024-05
DZA,mobile_fm_ratio,0.925,0.038,2024-05
DZA,mobile_women,0.808,2.062,2024-05
DZA,mobile_men,0.899,0.076,2024-05
DOM,internet_fm_ratio,1.013,0.05,2024-05
DOM,internet_women,0.832,1.956,2024-05
DOM,internet_men,0.814,1.331,2024-05
DOM,mobile_fm_ratio,1,0.047,2024-05
DOM,mobile_women,0.787,0.748,2024-05
DOM,mobile_men,0.799,0.093,2024-05
DNK,internet_fm_ratio,1.007,0.041,2024-05
DNK,internet_women,0.981,6.143,2024-05
DNK,internet_men,0.977,3.983,2024-05
DNK,mobile_fm_ratio,0.995,0.039,2024-05
DNK,mobile_women,0.897,1.283,2024-05
DNK,mobile_men,0.907,0.089,2024-05
DJI,internet_fm_ratio,0.743,0.05,2024-05
DJI,internet_women,0.433,0.608,2024-05
DJI,internet_men,0.606,0.466,2024-05
DJI,mobile_fm_ratio,0.688,0.039,2024-05
DJI,mobile_women,0.626,1.067,2024-05
DJI,mobile_men,0.737,0.079,2024-05
DEU,internet_fm_ratio,0.982,0.038,2024-05
DEU,internet_women,0.914,5.487,2024-05
DEU,internet_men,0.929,3.561,2024-05
DEU,mobile_fm_ratio,0.983,0.037,2024-05
DEU,mobile_women,0.924,1.03,2024-05
DEU,mobile_men,0.935,0.086,2024-05
CZE,internet_fm_ratio,0.965,0.042,2024-05
CZE,internet_women,0.834,4.003,2024-05
CZE,internet_men,0.867,2.623,2024-05
CZE,mobile_fm_ratio,0.995,0.039,2024-05
CZE,mobile_women,0.956,1.208,2024-05
CZE,mobile_men,0.962,0.09,2024-05
CYP,internet_fm_ratio,1.023,0.037,2024-05
CYP,internet_women,0.906,4.014,2024-05
CYP,internet_men,0.887,2.626,2024-05
CYP,mobile_fm_ratio,1.003,0.039,2024-05
CYP,mobile_women,0.965,2.169,2024-05
CYP,mobile_men,0.954,0.088,2024-05
CRI,internet_fm_ratio,1.01,0.04,2024-05
CRI,internet_women,0.819,2.089,2024-05
CRI,internet_men,0.813,1.405,2024-05
CRI,mobile_fm_ratio,1.012,0.041,2024-05
CRI,mobile_women,0.871,0.229,2024-05
CRI,mobile_men,0.82,0.087,2024-05
CPV,internet_fm_ratio,0.97,0.042,2024-05
CPV,internet_women,0.648,0.864,2024-05
CPV,internet_men,0.71,0.625,2024-05
CPV,mobile_fm_ratio,0.989,0.042,2024-05
CPV,mobile_women,0.752,0.522,2024-05
CPV,mobile_men,0.793,0.088,2024-05
COM,internet_fm_ratio,0.696,0.061,2024-05
COM,internet_women,0.419,0.47,2024-05
COM,internet_men,0.549,0.382,2024-05
COM,mobile_fm_ratio,0.894,0.041,2024-05
COM,mobile_women,0.687,1.071,2024-05
COM,mobile_men,0.775,0.083,2024-05
COL,internet_fm_ratio,1.017,0.041,2024-05
COL,internet_women,0.748,1.58,2024-05
COL,internet_men,0.737,1.079,2024-05
COL,mobile_fm_ratio,1.021,0.041,2024-05
COL,mobile_women,0.792,1.322,2024-05
COL,mobile_men,0.769,0.089,2024-05
COG,internet_fm_ratio,0.72,0.064,2024-05
COG,internet_women,0.206,0.442,2024-05
COG,internet_men,0.288,0.368,2024-05
COG,mobile_fm_ratio,0.894,0.045,2024-05
COG,mobile_women,0.475,1.747,2024-05
COG,mobile_men,0.693,0.081,2024-05
COD,internet_fm_ratio,0.518,0.079,2024-05
COD,internet_women,0.184,0.281,2024-05
COD,internet_men,0.338,0.265,2024-05
COD,mobile_fm_ratio,0.764,0.042,2024-05
COD,mobile_women,0.54,0.679,2024-05
COD,mobile_men,0.577,0.085,2024-05
CMR,internet_fm_ratio,0.7,0.063,2024-05
CMR,internet_women,0.352,0.503,2024-05
CMR,internet_men,0.456,0.395,2024-05
CMR,mobile_fm_ratio,0.843,0.04,2024-05
CMR,mobile_women,0.664,0.923,2024-05
CMR,mobile_men,0.775,0.08,2024-05
CIV,internet_fm_ratio,0.708,0.063,2024-05
CIV,internet_women,0.339,0.667,2024-05
CIV,internet_men,0.453,0.498,2024-05
CIV,mobile_fm_ratio,0.89,0.039,2024-05
CIV,mobile_women,0.654,0.843,2024-05
CIV,mobile_men,0.729,0.074,2024-05
CHN,internet_fm_ratio,0.975,0.035,2024-05
CHN,internet_women,0.773,1.865,2024-05
CHN,internet_men,0.783,1.261,2024-05
CHN,mobile_fm_ratio,0.967,0.039,2024-05
CHN,mobile_women,0.912,1.062,2024-05
CHN,mobile_men,0.923,0.086,2024-05
CHL,internet_fm_ratio,0.992,0.039,2024-05
CHL,internet_women,0.907,2.491,2024-05
CHL,internet_men,0.891,1.658,2024-05
CHL,mobile_fm_ratio,1.028,0.039,2024-05
CHL,mobile_women,0.926,1.407,2024-05
CHL,mobile_men,0.89,0.087,2024-05
CHE,internet_fm_ratio,0.992,0.038,2024-05
CHE,internet_women,0.96,6.854,2024-05
CHE,internet_men,0.958,4.431,2024-05
CHE,mobile_fm_ratio,0.992,0.037,2024-05
CHE,mobile_women,0.949,1.355,2024-05
CHE,mobile_men,0.954,0.086,2024-05
CAN,internet_fm_ratio,0.999,0.039,2024-05
CAN,internet_women,0.938,4.823,2024-05
CAN,internet_men,0.941,3.143,2024-05
CAN,mobile_fm_ratio,0.99,0.04,2024-05
CAN,mobile_women,0.93,1.089,2024-05
CAN,mobile_men,0.927,0.09,2024-05
CAF,internet_fm_ratio,0.451,0.074,2024-05
CAF,internet_women,0.055,0.233,2024-05
CAF,internet_men,0.103,0.216,2024-05
CAF,mobile_fm_ratio,0.56,0.037,2024-05
CAF,mobile_women,0.269,1.167,2024-05
CAF,mobile_men,0.461,0.072,2024-05
BWA,internet_fm_ratio,0.95,0.051,2024-05
BWA,internet_women,0.646,1.58,2024-05
BWA,internet_men,0.686,1.085,2024-05
BWA,mobile_fm_ratio,0.969,0.042,2024-05
BWA,mobile_women,0.84,1.825,2024-05
BWA,mobile_men,0.784,0.091,2024-05
BTN,internet_fm_ratio,0.933,0.039,2024-05
BTN,internet_women,0.822,1.154,2024-05
BTN,internet_men,0.806,0.811,2024-05
BTN,mobile_fm_ratio,0.952,0.041,2024-05
BTN,mobile_women,0.844,1.644,2024-05
BTN,mobile_men,0.879,0.088,2024-05
BRN,internet_fm_ratio,1.042,0.042,2024-05
BRN,internet_women,0.991,5.876,2024-05
BRN,internet_men,0.985,3.813,2024-05
BRN,mobile_fm_ratio,1.013,0.04,2024-05
BRN,mobile_women,0.953,2.35,2024-05
BRN,mobile_men,0.935,0.089,2024-05
BRB,internet_fm_ratio,1.03,0.044,2024-05
BRB,internet_women,0.864,1.578,2024-05
BRB,internet_men,0.821,1.092,2024-05
BRB,mobile_fm_ratio,1.018,0.048,2024-05
BRB,mobile_women,0.882,0.881,2024-05
BRB,mobile_men,0.832,0.101,2024-05
BRA,internet_fm_ratio,1.019,0.041,2024-05
BRA,internet_women,0.795,1.545,2024-05
BRA,internet_men,0.784,1.06,2024-05
BRA,mobile_fm_ratio,1.02,0.042,2024-05
BRA,mobile_women,0.883,0.896,2024-05
BRA,mobile_men,0.844,0.089,2024-05
BOL,internet_fm_ratio,0.946,0.049,2024-05
BOL,internet_women,0.66,0.909,2024-05
BOL,internet_men,0.709,0.654,2024-05
BOL,mobile_fm_ratio,0.977,0.041,2024-05
BOL,mobile_women,0.78,1.224,2024-05
BOL,mobile_men,0.787,0.084,2024-05
BLZ,internet_fm_ratio,0.996,0.045,2024-05
BLZ,internet_women,0.693,1.026,2024-05
BLZ,internet_men,0.744,0.73,2024-05
BLZ,mobile_fm_ratio,1.005,0.043,2024-05
BLZ,mobile_women,0.81,0.816,2024-05
BLZ,mobile_men,0.811,0.088,2024-05
BLR,internet_fm_ratio,1.013,0.037,2024-05
BLR,internet_women,0.902,1.902,2024-05
BLR,internet_men,0.886,1.281,2024-05
BLR,mobile_fm_ratio,1.007,0.038,2024-05
BLR,mobile_women,0.955,1.94,2024-05
BLR,mobile_men,0.944,0.091,2024-05
BIH,internet_fm_ratio,0.963,0.038,2024-05
BIH,internet_women,0.788,1.729,2024-05
BIH,internet_men,0.809,1.176,2024-05
BIH,mobile_fm_ratio,0.987,0.039,2024-05
BIH,mobile_women,0.901,1.115,2024-05
BIH,mobile_men,0.936,0.085,2024-05
BHS,internet_fm_ratio,1.014,0.038,2024-05
BHS,internet_women,0.948,3.276,2024-05
BHS,internet_men,0.934,2.158,2024-05
BHS,mobile_fm_ratio,1.01,0.041,2024-05
BHS,mobile_women,0.885,0.865,2024-05
BHS,mobile_men,0.896,0.093,2024-05
BHR,internet_fm_ratio,1.002,0.046,2024-05
BHR,internet_women,0.997,4.857,2024-05
BHR,internet_men,0.994,3.166,2024-05
BHR,mobile_fm_ratio,0.993,0.041,2024-05
BHR,mobile_women,0.99,2.377,2024-05
BHR,mobile_men,0.986,0.082,2024-05
BGR,internet_fm_ratio,0.988,0.039,2024-05
BGR,internet_women,0.792,2.636,2024-05
BGR,internet_men,0.813,1.751,2024-05
BGR,mobile_fm_ratio,1.003,0.04,2024-05
BGR,mobile_women,0.921,1.35,2024-05
BGR,mobile_men,0.87,0.091,2024-05
BGD,internet_fm_ratio,0.784,0.044,2024-05
BGD,internet_women,0.435,0.762,2024-05
BGD,internet_men,0.518,0.563,2024-05
BGD,mobile_fm_ratio,0.841,0.042,2024-05
BGD,mobile_women,0.664,0.895,2024-05
BGD,mobile_men,0.779,0.079,2024-05
BFA,internet_fm_ratio,0.583,0.068,2024-05
BFA,internet_women,0.206,0.359,2024-05
BFA,internet_men,0.4,0.313,2024-05
BFA,mobile_fm_ratio,0.796,0.044,2024-05
BFA,mobile_women,0.668,1.183,2024-05
BFA,mobile_men,0.824,0.079,2024-05
BEN,internet_fm_ratio,0.574,0.066,2024-05
BEN,internet_women,0.297,0.479,2024-05
BEN,internet_men,0.422,0.377,2024-05
BEN,mobile_fm_ratio,0.815,0.036,2024-05
BEN,mobile_women,0.626,0.783,2024-05
BEN,mobile_men,0.774,0.071,2024-05
BEL,internet_fm_ratio,0.998,0.041,2024-05
BEL,internet_women,0.941,5.333,2024-05
BEL,internet_men,0.94,3.47,2024-05
BEL,mobile_fm_ratio,0.996,0.041,2024-05
BEL,mobile_women,0.928,1.094,2024-05
BEL,mobile_men,0.937,0.09,2024-05
BDI,internet_fm_ratio,0.569,0.071,2024-05
BDI,internet_women,0.094,0.237,2024-05
BDI,internet_men,0.169,0.238,2024-05
BDI,mobile_fm_ratio,0.653,0.042,2024-05
BDI,mobile_women,0.272,1.284,2024-05
BDI,mobile_men,0.44,0.093,2024-05
AZE,internet_fm_ratio,0.956,0.038,2024-05
AZE,internet_women,0.845,1.573,2024-05
AZE,internet_men,0.866,1.072,2024-05
AZE,mobile_fm_ratio,0.989,0.04,2024-05
AZE,mobile_women,0.863,2.288,2024-05
AZE,mobile_men,0.85,0.089,2024-05
AUT,internet_fm_ratio,0.988,0.039,2024-05
AUT,internet_women,0.932,5.606,2024-05
AUT,internet_men,0.941,3.64,2024-05
AUT,mobile_fm_ratio,0.996,0.039,2024-05
AUT,mobile_women,0.949,1.061,2024-05
AUT,mobile_men,0.947,0.09,2024-05
AUS,internet_fm_ratio,1.003,0.041,2024-05
AUS,internet_women,0.968,4.907,2024-05
AUS,internet_men,0.968,3.198,2024-05
AUS,mobile_fm_ratio,0.998,0.04,2024-05
AUS,mobile_women,0.916,1.321,2024-05
AUS,mobile_men,0.926,0.091,2024-05
ARM,internet_fm_ratio,1.035,0.039,2024-05
ARM,internet_women,0.796,1.616,2024-05
ARM,internet_men,0.769,1.103,2024-05
ARM,mobile_fm_ratio,0.993,0.04,2024-05
ARM,mobile_women,0.881,2.44,2024-05
ARM,mobile_men,0.888,0.089,2024-05
ARG,internet_fm_ratio,1.019,0.046,2024-05
ARG,internet_women,0.89,2.282,2024-05
ARG,internet_men,0.888,1.539,2024-05
ARG,mobile_fm_ratio,0.999,0.045,2024-05
ARG,mobile_women,0.88,0.756,2024-05
ARG,mobile_men,0.856,0.141,2024-05
ARE,internet_fm_ratio,0.996,0.043,2024-05
ARE,internet_women,0.995,7.326,2024-05
ARE,internet_men,0.991,4.743,2024-05
ARE,mobile_fm_ratio,1,0.043,2024-05
ARE,mobile_women,0.968,2.392,2024-05
ARE,mobile_men,0.975,0.087,2024-05
ALB,internet_fm_ratio,0.976,0.037,2024-05
ALB,internet_women,0.823,1.602,2024-05
ALB,internet_men,0.826,1.092,2024-05
ALB,mobile_fm_ratio,0.985,0.039,2024-05
ALB,mobile_women,0.902,0.977,2024-05
ALB,mobile_men,0.932,0.09,2024-05
AGO,internet_fm_ratio,0.652,0.071,2024-05
AGO,internet_women,0.34,0.674,2024-05
AGO,internet_men,0.435,0.505,2024-05
AGO,mobile_fm_ratio,0.817,0.041,2024-05
AGO,mobile_women,0.655,1.374,2024-05
AGO,mobile_men,0.755,0.08,2024-05
AFG,internet_fm_ratio,0.429,0.057,2024-05
AFG,internet_women,0.138,0.25,2024-05
AFG,internet_men,0.246,0.215,2024-05
AFG,mobile_fm_ratio,0.552,0.026,2024-05
AFG,mobile_women,0.437,0.908,2024-05
AFG,mobile_men,0.685,0.049,2024-05
ZWE,internet_fm_ratio,0.922,0.055,2024-04
ZWE,internet_women,0.365,0.338,2024-04
ZWE,internet_men,0.385,0.29,2024-04
ZWE,mobile_fm_ratio,1.002,0.041,2024-04
ZWE,mobile_women,0.624,0.744,2024-04
ZWE,mobile_men,0.659,0.124,2024-04
ZMB,internet_fm_ratio,0.695,0.064,2024-04
ZMB,internet_women,0.253,0.461,2024-04
ZMB,internet_men,0.355,0.375,2024-04
ZMB,mobile_fm_ratio,0.927,0.044,2024-04
ZMB,mobile_women,0.63,1.026,2024-04
ZMB,mobile_men,0.687,0.085,2024-04
ZAF,internet_fm_ratio,0.968,0.048,2024-04
ZAF,internet_women,0.629,1.415,2024-04
ZAF,internet_men,0.656,0.98,2024-04
ZAF,mobile_fm_ratio,1.017,0.043,2024-04
ZAF,mobile_women,0.822,0.911,2024-04
ZAF,mobile_men,0.802,0.088,2024-04
YEM,internet_fm_ratio,0.512,0.053,2024-04
YEM,internet_women,0.266,0.232,2024-04
YEM,internet_men,0.455,0.211,2024-04
YEM,mobile_fm_ratio,0.721,0.03,2024-04
YEM,mobile_women,0.617,1.224,2024-04
YEM,mobile_men,0.679,0.045,2024-04
WSM,internet_fm_ratio,0.803,0.062,2024-04
WSM,internet_women,0.701,0.64,2024-04
WSM,internet_men,0.774,0.492,2024-04
WSM,mobile_fm_ratio,0.975,0.042,2024-04
WSM,mobile_women,0.765,0.962,2024-04
WSM,mobile_men,0.774,0.089,2024-04
VUT,internet_fm_ratio,0.83,0.058,2024-04
VUT,internet_women,0.608,0.462,2024-04
VUT,internet_men,0.726,0.374,2024-04
VUT,mobile_fm_ratio,0.985,0.041,2024-04
VUT,mobile_women,0.708,0.955,2024-04
VUT,mobile_men,0.743,0.089,2024-04
VNM,internet_fm_ratio,0.952,0.042,2024-04
VNM,internet_women,0.757,1.177,2024-04
VNM,internet_men,0.815,0.824,2024-04
VNM,mobile_fm_ratio,0.992,0.04,2024-04
VNM,mobile_women,0.794,1.731,2024-04
VNM,mobile_men,0.808,0.089,2024-04
VEN,internet_fm_ratio,0.991,0.048,2024-04
VEN,internet_women,0.697,0.741,2024-04
VEN,internet_men,0.755,0.555,2024-04
VEN,mobile_fm_ratio,0.991,0.046,2024-04
VEN,mobile_women,0.779,1.092,2024-04
VEN,mobile_men,0.808,0.222,2024-04
VCT,internet_fm_ratio,0.996,0.041,2024-04
VCT,internet_women,0.824,1.486,2024-04
VCT,internet_men,0.809,1.019,2024-04
VCT,mobile_fm_ratio,1.024,0.04,2024-04
VCT,mobile_women,0.857,0.856,2024-04
VCT,mobile_men,0.804,0.088,2024-04
UZB,internet_fm_ratio,0.929,0.053,2024-04
UZB,internet_women,0.716,0.92,2024-04
UZB,internet_men,0.824,0.663,2024-04
UZB,mobile_fm_ratio,0.904,0.037,2024-04
UZB,mobile_women,0.777,1.55,2024-04
UZB,mobile_men,0.854,0.083,2024-04
USA,internet_fm_ratio,1.012,0.041,2024-04
USA,internet_women,0.917,6.49,2024-04
USA,internet_men,0.93,4.206,2024-04
USA,mobile_fm_ratio,1.006,0.041,2024-04
USA,mobile_women,0.953,1.799,2024-04
USA,mobile_men,0.941,0.093,2024-04
URY,internet_fm_ratio,1.025,0.042,2024-04
URY,internet_women,0.908,2.288,2024-04
URY,internet_men,0.888,1.539,2024-04
URY,mobile_fm_ratio,1.012,0.045,2024-04
URY,mobile_women,0.914,1.633,2024-04
URY,mobile_men,0.879,0.094,2024-04
UKR,internet_fm_ratio,0.96,0.035,2024-04
UKR,internet_women,0.771,1.222,2024-04
UKR,internet_men,0.813,0.85,2024-04
UKR,mobile_fm_ratio,1.005,0.039,2024-04
UKR,mobile_women,0.893,1.921,2024-04
UKR,mobile_men,0.913,0.092,2024-04
UGA,internet_fm_ratio,0.491,0.065,2024-04
UGA,internet_women,0.111,0.368,2024-04
UGA,internet_men,0.213,0.312,2024-04
UGA,mobile_fm_ratio,0.773,0.041,2024-04
UGA,mobile_women,0.423,1.272,2024-04
UGA,mobile_men,0.657,0.077,2024-04
TZA,internet_fm_ratio,0.653,0.069,2024-04
TZA,internet_women,0.231,0.412,2024-04
TZA,internet_men,0.324,0.347,2024-04
TZA,mobile_fm_ratio,0.848,0.046,2024-04
TZA,mobile_women,0.623,0.88,2024-04
TZA,mobile_men,0.722,0.083,2024-04
TUV,internet_fm_ratio,0.959,0.054,2024-04
TUV,internet_women,0.731,0.605,2024-04
TUV,internet_men,0.792,0.465,2024-04
TUV,mobile_fm_ratio,0.973,0.04,2024-04
TUV,mobile_women,0.752,0.958,2024-04
TUV,mobile_men,0.788,0.088,2024-04
TUR,internet_fm_ratio,0.908,0.041,2024-04
TUR,internet_women,0.803,3.306,2024-04
TUR,internet_men,0.859,2.174,2024-04
TUR,mobile_fm_ratio,0.94,0.036,2024-04
TUR,mobile_women,0.919,1.74,2024-04
TUR,mobile_men,0.959,0.099,2024-04
TUN,internet_fm_ratio,0.889,0.045,2024-04
TUN,internet_women,0.694,1.136,2024-04
TUN,internet_men,0.77,0.804,2024-04
TUN,mobile_fm_ratio,0.947,0.039,2024-04
TUN,mobile_women,0.834,1.523,2024-04
TUN,mobile_men,0.908,0.083,2024-04
TTO,internet_fm_ratio,1.009,0.04,2024-04
TTO,internet_women,0.785,2.303,2024-04
TTO,internet_men,0.791,1.54,2024-04
TTO,mobile_fm_ratio,1.012,0.041,2024-04
TTO,mobile_women,0.892,0.559,2024-04
TTO,mobile_men,0.865,0.089,2024-04
TON,internet_fm_ratio,1.03,0.057,2024-04
TON,internet_women,0.71,0.771,2024-04
TON,internet_men,0.791,0.577,2024-04
TON,mobile_fm_ratio,0.986,0.042,2024-04
TON,mobile_women,0.797,0.967,2024-04
TON,mobile_men,0.839,0.091,2024-04
TLS,internet_fm_ratio,0.871,0.054,2024-04
TLS,internet_women,0.476,0.3,2024-04
TLS,internet_men,0.535,0.269,2024-04
TLS,mobile_fm_ratio,0.91,0.039,2024-04
TLS,mobile_women,0.71,0.643,2024-04
TLS,mobile_men,0.747,0.08,2024-04
TKM,internet_fm_ratio,0.89,0.047,2024-04
TKM,internet_women,0.4,1.379,2024-04
TKM,internet_men,0.382,0.953,2024-04
TKM,mobile_fm_ratio,0.9,0.037,2024-04
TKM,mobile_women,0.776,1.63,2024-04
TKM,mobile_men,0.863,0.076,2024-04
TJK,internet_fm_ratio,0.89,0.051,2024-04
TJK,internet_women,0.406,0.597,2024-04
TJK,internet_men,0.477,0.453,2024-04
TJK,mobile_fm_ratio,0.888,0.036,2024-04
TJK,mobile_women,0.657,0.81,2024-04
TJK,mobile_men,0.778,0.077,2024-04
THA,internet_fm_ratio,0.983,0.037,2024-04
THA,internet_women,0.873,1.757,2024-04
THA,internet_men,0.884,1.191,2024-04
THA,mobile_fm_ratio,0.994,0.04,2024-04
THA,mobile_women,0.888,1.342,2024-04
THA,mobile_men,0.876,0.091,2024-04
TGO,internet_fm_ratio,0.507,0.06,2024-04
TGO,internet_women,0.237,0.356,2024-04
TGO,internet_men,0.397,0.299,2024-04
TGO,mobile_fm_ratio,0.735,0.038,2024-04
TGO,mobile_women,0.646,1.185,2024-04
TGO,mobile_men,0.779,0.079,2024-04
TCD,internet_fm_ratio,0.341,0.075,2024-04
TCD,internet_women,0.087,0.287,2024-04
TCD,internet_men,0.155,0.251,2024-04
TCD,mobile_fm_ratio,0.518,0.035,2024-04
TCD,mobile_women,0.384,1.562,2024-04
TCD,mobile_men,0.666,0.067,2024-04
SYC,internet_fm_ratio,0.953,0.051,2024-04
SYC,internet_women,0.76,2.905,2024-04
SYC,internet_men,0.804,1.937,2024-04
SYC,mobile_fm_ratio,0.982,0.047,2024-04
SYC,mobile_women,0.862,0.791,2024-04
SYC,mobile_men,0.822,0.092,2024-04
SWZ,internet_fm_ratio,1.026,0.049,2024-04
SWZ,internet_women,0.565,0.942,2024-04
SWZ,internet_men,0.578,0.67,2024-04
SWZ,mobile_fm_ratio,0.999,0.04,2024-04
SWZ,mobile_women,0.829,1.071,2024-04
SWZ,mobile_men,0.842,0.088,2024-04
SWE,internet_fm_ratio,1.021,0.043,2024-04
SWE,internet_women,0.964,5.666,2024-04
SWE,internet_men,0.942,3.687,2024-04
SWE,mobile_fm_ratio,0.997,0.043,2024-04
SWE,mobile_women,0.913,1.325,2024-04
SWE,mobile_men,0.915,0.096,2024-04
SVN,internet_fm_ratio,0.995,0.041,2024-04
SVN,internet_women,0.894,4.163,2024-04
SVN,internet_men,0.898,2.727,2024-04
SVN,mobile_fm_ratio,1.003,0.041,2024-04
SVN,mobile_women,0.963,1.279,2024-04
SVN,mobile_men,0.965,0.093,2024-04
SVK,internet_fm_ratio,0.996,0.041,2024-04
SVK,internet_women,0.891,3.247,2024-04
SVK,internet_men,0.894,2.142,2024-04
SVK,mobile_fm_ratio,0.991,0.041,2024-04
SVK,mobile_women,0.907,1.344,2024-04
SVK,mobile_men,0.893,0.093,2024-04
SUR,internet_fm_ratio,1.035,0.048,2024-04
SUR,internet_women,0.715,1.329,2024-04
SUR,internet_men,0.756,0.924,2024-04
SUR,mobile_fm_ratio,0.99,0.043,2024-04
SUR,mobile_women,0.87,1.126,2024-04
SUR,mobile_men,0.855,0.11,2024-04
STP,internet_fm_ratio,0.777,0.06,2024-04
STP,internet_women,0.497,0.544,2024-04
STP,internet_men,0.599,0.428,2024-04
STP,mobile_fm_ratio,1.016,0.042,2024-04
STP,mobile_women,0.72,1.071,2024-04
STP,mobile_men,0.725,0.09,2024-04
SSD,internet_fm_ratio,0.48,0.058,2024-04
SSD,internet_women,0.097,0.191,2024-04
SSD,internet_men,0.148,0.181,2024-04
SSD,mobile_fm_ratio,0.551,0.032,2024-04
SSD,mobile_women,0.326,1.766,2024-04
SSD,mobile_men,0.522,0.07,2024-04
SRB,internet_fm_ratio,0.963,0.04,2024-04
SRB,internet_women,0.821,2.017,2024-04
SRB,internet_men,0.855,1.361,2024-04
SRB,mobile_fm_ratio,1,0.041,2024-04
SRB,mobile_women,0.949,1.606,2024-04
SRB,mobile_men,0.947,0.092,2024-04
SOM,internet_fm_ratio,0.59,0.08,2024-04
SOM,internet_women,0.181,0.275,2024-04
SOM,internet_men,0.221,0.256,2024-04
SOM,mobile_fm_ratio,0.721,0.04,2024-04
SOM,mobile_women,0.413,1.055,2024-04
SOM,mobile_men,0.621,0.076,2024-04
SMR,internet_fm_ratio,1.038,0.037,2024-04
SMR,internet_women,0.802,5.707,2024-04
SMR,internet_men,0.82,3.696,2024-04
SMR,mobile_fm_ratio,1.002,0.035,2024-04
SMR,mobile_women,0.931,1.382,2024-04
SMR,mobile_men,0.943,0.085,2024-04
SLV,internet_fm_ratio,0.946,0.042,2024-04
SLV,internet_women,0.666,0.989,2024-04
SLV,internet_men,0.75,0.705,2024-04
SLV,mobile_fm_ratio,0.982,0.041,2024-04
SLV,mobile_women,0.761,1.074,2024-04
SLV,mobile_men,0.819,0.084,2024-04
SLE,internet_fm_ratio,0.568,0.061,2024-04
SLE,internet_women,0.21,0.31,2024-04
SLE,internet_men,0.267,0.281,2024-04
SLE,mobile_fm_ratio,0.785,0.044,2024-04
SLE,mobile_women,0.467,0.686,2024-04
SLE,mobile_men,0.673,0.098,2024-04
SLB,internet_fm_ratio,0.791,0.064,2024-04
SLB,internet_women,0.518,0.383,2024-04
SLB,internet_men,0.586,0.334,2024-04
SLB,mobile_fm_ratio,0.984,0.045,2024-04
SLB,mobile_women,0.708,0.965,2024-04
SLB,mobile_men,0.785,0.087,2024-04
SGP,internet_fm_ratio,0.991,0.034,2024-04
SGP,internet_women,0.965,8.725,2024-04
SGP,internet_men,0.963,5.619,2024-04
SGP,mobile_fm_ratio,0.996,0.038,2024-04
SGP,mobile_women,0.975,2.426,2024-04
SGP,mobile_men,0.979,0.09,2024-04
SEN,internet_fm_ratio,0.76,0.067,2024-04
SEN,internet_women,0.511,0.507,2024-04
SEN,internet_men,0.651,0.416,2024-04
SEN,mobile_fm_ratio,0.84,0.044,2024-04
SEN,mobile_women,0.718,1.162,2024-04
SEN,mobile_men,0.832,0.083,2024-04
SAU,internet_fm_ratio,0.987,0.052,2024-04
SAU,internet_women,0.995,5.045,2024-04
SAU,internet_men,0.992,3.285,2024-04
SAU,mobile_fm_ratio,0.992,0.04,2024-04
SAU,mobile_women,0.985,2.316,2024-04
SAU,mobile_men,0.99,0.081,2024-04
RWA,internet_fm_ratio,0.632,0.059,2024-04
RWA,internet_women,0.299,0.373,2024-04
RWA,internet_men,0.463,0.318,2024-04
RWA,mobile_fm_ratio,0.799,0.039,2024-04
RWA,mobile_women,0.615,1.228,2024-04
RWA,mobile_men,0.746,0.088,2024-04
ROU,internet_fm_ratio,0.985,0.042,2024-04
ROU,internet_women,0.854,3.198,2024-04
ROU,internet_men,0.857,2.111,2024-04
ROU,mobile_fm_ratio,0.995,0.041,2024-04
ROU,mobile_women,0.949,1.627,2024-04
ROU,mobile_men,0.942,0.091,2024-04
QAT,internet_fm_ratio,1.054,0.049,2024-04
QAT,internet_women,0.996,9.45,2024-04
QAT,internet_men,0.994,6.095,2024-04
QAT,mobile_fm_ratio,1.001,0.044,2024-04
QAT,mobile_women,0.966,2.255,2024-04
QAT,mobile_men,0.982,0.089,2024-04
PRY,internet_fm_ratio,1.02,0.049,2024-04
PRY,internet_women,0.761,1.416,2024-04
PRY,internet_men,0.754,0.982,2024-04
PRY,mobile_fm_ratio,1.012,0.044,2024-04
PRY,mobile_women,0.832,0.874,2024-04
PRY,mobile_men,0.837,0.089,2024-04
PRT,internet_fm_ratio,0.992,0.037,2024-04
PRT,internet_women,0.839,3.544,2024-04
PRT,internet_men,0.853,2.327,2024-04
PRT,mobile_fm_ratio,0.995,0.038,2024-04
PRT,mobile_women,0.958,1.382,2024-04
PRT,mobile_men,0.967,0.089,2024-04
POL,internet_fm_ratio,0.997,0.038,2024-04
POL,internet_women,0.869,3.534,2024-04
POL,internet_men,0.873,2.325,2024-04
POL,mobile_fm_ratio,0.994,0.04,2024-04
POL,mobile_women,0.932,1.493,2024-04
POL,mobile_men,0.947,0.093,2024-04
PNG,internet_fm_ratio,0.751,0.051,2024-04
PNG,internet_women,0.343,0.489,2024-04
PNG,internet_men,0.404,0.382,2024-04
PNG,mobile_fm_ratio,0.848,0.037,2024-04
PNG,mobile_women,0.633,0.524,2024-04
PNG,mobile_men,0.665,0.078,2024-04
PLW,internet_fm_ratio,1.004,0.034,2024-04
PLW,internet_women,0.772,1.994,2024-04
PLW,internet_men,0.764,1.343,2024-04
