iso3,survey_year,source,outcome,observed
NGA,2021.0,mics6,internet_fm_ratio,0.569
NLD,2022.0,itu,internet_fm_ratio,0.983
NOR,2022.0,itu,internet_fm_ratio,1.007
NPL,2016.0,dhs7,internet_fm_ratio,0.49
NPL,2022.0,dhs8,internet_fm_ratio,0.853
NPL,2019.0,mics6,internet_fm_ratio,0.671
PAK,2017.0,dhs7,internet_fm_ratio,0.424
PNG,2016.0,dhs7,internet_fm_ratio,0.621
POL,2022.0,itu,internet_fm_ratio,0.989
PRI,2021.0,itu,internet_fm_ratio,1.031
ROU,2022.0,itu,internet_fm_ratio,0.988
RWA,2019.0,dhs8,internet_fm_ratio,0.536
SEN,2017.0,continuous dhs7,internet_fm_ratio,0.643
SEN,2018.0,continuous dhs8,internet_fm_ratio,0.724
SEN,2019.0,continuous dhs8,internet_fm_ratio,0.802
SLE,2019.0,dhs7,internet_fm_ratio,0.472
SLE,2017.0,mics6,internet_fm_ratio,0.37
STP,2019.0,mics6,internet_fm_ratio,0.782
SUR,2018.0,mics6,internet_fm_ratio,0.994
SVK,2021.0,itu,internet_fm_ratio,0.994
SVN,2022.0,itu,internet_fm_ratio,0.988
SWE,2022.0,itu,internet_fm_ratio,1.019
SWZ,2021.0,mics6,internet_fm_ratio,1.083
TCA,2019.0,mics6,internet_fm_ratio,1.018
TCD,2019.0,mics6,internet_fm_ratio,0.108
TGO,2017.0,mics6,internet_fm_ratio,0.528
TLS,2016.0,dhs7,internet_fm_ratio,0.72
TON,2019.0,mics6,internet_fm_ratio,0.904
TUN,2018.0,mics6,internet_fm_ratio,0.815
TUV,2019.0,mics6,internet_fm_ratio,0.984
TZA,2015.0,dhs7,internet_fm_ratio,0.431
TZA,2022.0,dhs8,internet_fm_ratio,0.495
UGA,2016.0,dhs7,internet_fm_ratio,0.383
URY,2022.0,itu,internet_fm_ratio,1.029
UZB,2022.0,itu,internet_fm_ratio,0.937
VNM,2020.0,mics6,internet_fm_ratio,0.98
WSM,2019.0,mics6,internet_fm_ratio,0.765
XKX,2018.0,itu,internet_fm_ratio,0.996
ZAF,2016.0,dhs7,internet_fm_ratio,0.912
ZMB,2018.0,dhs7,internet_fm_ratio,0.464
ZWE,2015.0,dhs7,internet_fm_ratio,0.637
ZWE,2019.0,mics6,internet_fm_ratio,0.731
