gid_0,gid_1,outcome,predicted,predicted_error,date
AFG,AFG.1_1,mobile_women,0.216,0.083,2015-01
AFG,AFG.1_1,mobile_men,0.781,0.04,2015-01
AFG,AFG.1_1,mobile_fm_ratio,0.271,0.062,2015-01
AFG,AFG.1_1,internet_women,0.072,0.044,2015-01
AFG,AFG.1_1,internet_men,0.244,0.076,2015-01
AFG,AFG.1_1,internet_fm_ratio,0.155,0.073,2015-01
AFG,AFG.1_1,mobile_women,0.218,0.084,2016-01
AFG,AFG.1_1,mobile_men,0.785,0.04,2016-01
AFG,AFG.1_1,mobile_fm_ratio,0.275,0.062,2016-01
AFG,AFG.1_1,internet_women,0.079,0.044,2016-01
AFG,AFG.1_1,internet_men,0.25,0.076,2016-01
AFG,AFG.1_1,internet_fm_ratio,0.163,0.073,2016-01
AFG,AFG.1_1,mobile_women,0.232,0.086,2017-01
AFG,AFG.1_1,mobile_men,0.79,0.04,2017-01
AFG,AFG.1_1,mobile_fm_ratio,0.294,0.062,2017-01
AFG,AFG.1_1,internet_women,0.086,0.044,2017-01
AFG,AFG.1_1,internet_men,0.257,0.076,2017-01
AFG,AFG.1_1,internet_fm_ratio,0.172,0.073,2017-01
AFG,AFG.1_1,mobile_women,0.233,0.088,2018-01
AFG,AFG.1_1,mobile_men,0.786,0.04,2018-01
AFG,AFG.1_1,mobile_fm_ratio,0.308,0.062,2018-01
AFG,AFG.1_1,internet_women,0.094,0.044,2018-01
AFG,AFG.1_1,internet_men,0.272,0.076,2018-01
AFG,AFG.1_1,internet_fm_ratio,0.18,0.073,2018-01
AFG,AFG.1_1,mobile_women,0.228,0.089,2019-01
AFG,AFG.1_1,mobile_men,0.787,0.039,2019-01
AFG,AFG.1_1,mobile_fm_ratio,0.312,0.062,2019-01
AFG,AFG.1_1,internet_women,0.105,0.042,2019-01
AFG,AFG.1_1,internet_men,0.295,0.075,2019-01
AFG,AFG.1_1,internet_fm_ratio,0.188,0.072,2019-01
AFG,AFG.1_1,mobile_women,0.214,0.091,2020-01
AFG,AFG.1_1,mobile_men,0.762,0.04,2020-01
