gid_0,gid_1,country,outcome,predicted,predicted_error,date
AFG,AFG.18_1,Afghanistan,mobile_men,85.32530950476087,3.383041739137036,2024-05-01
AFG,AFG.18_1,Afghanistan,mobile_fm_ratio,0.433704792952403,0.05067620148707567,2024-05-01
AFG,AFG.18_1,Afghanistan,internet_women,13.236715284335222,4.088137751833994,2024-05-01
AFG,AFG.18_1,Afghanistan,internet_men,32.208588351083996,6.46887230675933,2024-05-01
AFG,AFG.18_1,Afghanistan,internet_fm_ratio,0.1570253655117478,0.08261621469344993,2024-05-01
AFG,AFG.19_1,Afghanistan,mobile_women,31.736496981602368,5.665270194555236,2024-05-01
AFG,AFG.19_1,Afghanistan,mobile_men,88.04103852139332,3.42341748751584,2024-05-01
AFG,AFG.19_1,Afghanistan,mobile_fm_ratio,0.4180789673387194,0.04997790425259415,2024-05-01
AFG,AFG.19_1,Afghanistan,internet_women,14.753750090457451,4.17281279114444,2024-05-01
AFG,AFG.19_1,Afghanistan,internet_men,33.66201902173925,6.574631434178101,2024-05-01
AFG,AFG.19_1,Afghanistan,internet_fm_ratio,0.2543258378042872,0.0847431874894181,2024-05-01
AFG,AFG.2_1,Afghanistan,mobile_women,33.67591539498032,5.673189676968707,2024-05-01
AFG,AFG.2_1,Afghanistan,mobile_men,86.49894939672278,3.38486146115331,2024-05-01
AFG,AFG.2_1,Afghanistan,mobile_fm_ratio,0.4758216695333081,0.06685246697134377,2024-05-01
AFG,AFG.2_1,Afghanistan,internet_women,15.108518238998467,4.043166792273308,2024-05-01
AFG,AFG.2_1,Afghanistan,internet_men,34.46722065703796,6.588171538141639,2024-05-01
AFG,AFG.2_1,Afghanistan,internet_fm_ratio,0.21530069422045608,0.09901538531033706,2024-05-01
AFG,AFG.20_1,Afghanistan,mobile_women,27.926846484121302,5.545266249453793,2024-05-01
AFG,AFG.20_1,Afghanistan,mobile_men,85.75555568907528,3.3884359436672686,2024-05-01
AFG,AFG.20_1,Afghanistan,mobile_fm_ratio,0.38525664377560864,0.04992251807711795,2024-05-01
AFG,AFG.20_1,Afghanistan,internet_women,13.912493320901216,4.262680225550013,2024-05-01
AFG,AFG.20_1,Afghanistan,internet_men,33.32324756467315,6.465347934421991,2024-05-01
AFG,AFG.20_1,Afghanistan,internet_fm_ratio,0.16236509245703334,0.08550257592611911,2024-05-01
AFG,AFG.21_1,Afghanistan,mobile_women,38.84482565930227,5.519261957377024,2024-05-01
AFG,AFG.21_1,Afghanistan,mobile_men,88.23777863709228,3.3814583572680306,2024-05-01
AFG,AFG.21_1,Afghanistan,mobile_fm_ratio,0.5388490219046185,0.0489356547082092,2024-05-01
AFG,AFG.21_1,Afghanistan,internet_women,18.871804046199298,4.613768305671651,2024-05-01
AFG,AFG.21_1,Afghanistan,internet_men,37.25537606358399,6.63196374645765,2024-05-01
AFG,AFG.21_1,Afghanistan,internet_fm_ratio,0.28161385864463917,0.08436982510879129,2024-05-01
AFG,AFG.22_1,Afghanistan,mobile_women,28.341070295125913,5.695866724362475,2024-05-01
AFG,AFG.22_1,Afghanistan,mobile_men,85.89140793207645,3.4261962539873507,2024-05-01
AFG,AFG.22_1,Afghanistan,mobile_fm_ratio,0.3825539809733318,0.05174473026257828,2024-05-01
AFG,AFG.22_1,Afghanistan,internet_women,13.423908490521294,4.2277897817732,2024-05-01
AFG,AFG.22_1,Afghanistan,internet_men,33.68600053363024,6.558259394793002,2024-05-01
AFG,AFG.22_1,Afghanistan,internet_fm_ratio,0.3073822543518351,0.0856085878786835,2024-05-01
AFG,AFG.23_1,Afghanistan,mobile_women,31.742356541269224,5.881641983922937,2024-05-01
AFG,AFG.23_1,Afghanistan,mobile_men,87.73434492364888,3.464876298506679,2024-05-01
AFG,AFG.23_1,Afghanistan,mobile_fm_ratio,0.403032766539078,0.07404781462284497,2024-05-01
AFG,AFG.23_1,Afghanistan,internet_women,14.625588606102587,3.894969851233795,2024-05-01
AFG,AFG.23_1,Afghanistan,internet_men,34.00320079111852,6.7176423178464155,2024-05-01
AFG,AFG.23_1,Afghanistan,internet_fm_ratio,0.2777800337338363,0.10278945452697744,2024-05-01
AFG,AFG.24_1,Afghanistan,mobile_women,30.51637868420681,8.426474323749272,2024-05-01
AFG,AFG.24_1,Afghanistan,mobile_men,75.98964574616514,5.821027398368701,2024-05-01
AFG,AFG.24_1,Afghanistan,mobile_fm_ratio,0.4039960393224613,0.14082272977453972,2024-05-01
AFG,AFG.24_1,Afghanistan,internet_women,18.95146136394947,7.458785680047605,2024-05-01
AFG,AFG.24_1,Afghanistan,internet_men,31.652249974964512,7.753050190699373,2024-05-01
AFG,AFG.24_1,Afghanistan,internet_fm_ratio,0.2967877720770478,0.16557152496666164,2024-05-01
AFG,AFG.25_1,Afghanistan,mobile_women,29.75627485573201,5.646529432769149,2024-05-01
AFG,AFG.25_1,Afghanistan,mobile_men,86.1194595467636,3.3962020383417904,2024-05-01
AFG,AFG.25_1,Afghanistan,mobile_fm_ratio,0.44048033270618026,0.063220826863868193,2024-05-01
AFG,AFG.25_1,Afghanistan,internet_women,13.45981095295765,4.11979539879267,2024-05-01
AFG,AFG.25_1,Afghanistan,internet_men,34.571325496621746,6.576573019069832,2024-05-01
AFG,AFG.25_1,Afghanistan,internet_fm_ratio,0.17864132405121627,0.09363705531322344,2024-05-01
AFG,AFG.26_1,Afghanistan,mobile_women,28.53333112794552,5.600990880251763,2024-05-01
AFG,AFG.26_1,Afghanistan,mobile_men,86.8563827151193,3.377771986985871,2024-05-01
AFG,AFG.26_1,Afghanistan,mobile_fm_ratio,0.4205015517780998,0.05528090941865356,2024-05-01
AFG,AFG.26_1,Afghanistan,internet_women,13.175895274618194,3.981938901667968,2024-05-01
AFG,AFG.26_1,Afghanistan,internet_men,34.54206878054886,6.568472064663348,2024-05-01
AFG,AFG.26_1,Afghanistan,internet_fm_ratio,0.19747772815662665,0.08463990811563529,2024-05-01
AFG,AFG.27_1,Afghanistan,mobile_women,38.412945814626546,5.502388558316434,2024-05-01
AFG,AFG.27_1,Afghanistan,mobile_men,88.77116092066109,3.413468444967766,2024-05-01
